Title,Genre,Year,Runtime,Rating,desc,Votes,Director,Stars
Angels Over Broadway,"Adventure, Comedy, Crime            ",1940,79 min,6.5,"A cuckolded embezzler on the verge of suicide is helped by a tout, an alcoholic playwright, and a pick-up girl to reimburse the money with a gambling sting.","1,228",Ben Hecht,|
City for Conquest,"Drama, Music, Sport            ",1940,104 min,7.2,"Danny is a content truck driver, but his girl Peggy shows potential as a dancer and hopes he too can show ambition. Danny acquiesces and pursues boxing to please her, but the two begin to spend more time working than time together.","2,430",Anatole Litvak,|
The Letter,"Crime, Drama, Film-Noir            ",1940,95 min,7.6,"The wife of a rubber plantation administrator shoots a man to death and claims it was self-defense, but a letter in her own hand may prove her undoing.","13,469",William Wyler,Bette Davis
Rebecca,"Drama, Film-Noir, Mystery            ",1940,130 min,8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"138,097",Alfred Hitchcock,Laurence Olivier
Stranger on the Third Floor,"Crime, Drama, Film-Noir            ",1940,64 min,6.8,An aspiring reporter is the key witness at the murder trial of a young man accused of cutting a café owner's throat and is soon accused of a similar crime himself.,"4,268",Boris Ingster,Peter Lorre
They Drive by Night,"Crime, Drama, Film-Noir            ",1940,95 min,7.2,"When one of two truck-driving brothers loses an arm, they both join a transport company where the other is falsely charged as an accessory in the murder of the owner.","8,201",Raoul Walsh,George Raft
Among the Living,"Drama, Film-Noir, Mystery            ",1941,67 min,6.4,A mentally-unstable man who has been kept in isolation for years escapes and causes trouble for his identical twin brother.,716,Stuart Heisler,Albert Dekker
Blues in the Night,"Crime, Drama, Film-Noir            ",1941,88 min,6.7,"""Jigger' Pine forms a band that includes singer Ginger 'Character' Powell, wife of the trumpeter Leo Powell, and Nickie Haroyen and Peppi. All of them dedicate themselves to work as a unit ...                See full summary »","442,801",Orson Welles,Orson Welles
Citizen Kane,"Drama, Mystery            ",1941,119 min,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'","5,172",William Dieterle,Edward Arnold
All That Money Can Buy,"Drama, Fantasy, Romance            ",1941,107 min,7.6,"A nineteenth-century New Hampshire farmer makes a pact with Satan for economic success, then enlists famed orator Daniel Webster to extract him from his contract.","17,659",Raoul Walsh,Ida Lupino
High Sierra,"Action, Adventure, Drama            ",1941,100 min,7.5,"After being released from prison, notorious thief Roy Earle is hired by his old boss to help a group of inexperienced criminals plan and carry out the robbery of a California resort.",148,William C. McGann,Brenda Marshall
Highway West,"Action, Crime, Drama            ",1941,64 min,6.2,"Claire Foster (Brenda Marshall) discovers that her respectable-businessman husband George Foster (Arthur Kennedy) isn't respectable and isn't a businessman, but a gunman in this remake-version of ""Heat Lightning"".","4,939",H. Bruce Humberstone,Betty Grable
I Wake Up Screaming,"Crime, Drama, Film-Noir            ",1941,82 min,7.2,Why is Inspector Ed Cornell trying to railroad Frankie Christopher for the murder of model Vicky Lynn?,"1,444",Charles Vidor,Ida Lupino
Ladies in Retirement,"Crime, Drama, Film-Noir            ",1941,91 min,7.1,"The housekeeper to a retired actress tries at the same time to look after her own two emotionally disturbed sisters, with dramatic results.","159,538",John Huston,Humphrey Bogart
The Maltese Falcon,"Crime, Film-Noir, Mystery            ",1941,100 min,8,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette, with the stakes rising after his partner is murdered.","1,727",Anatole Litvak,Ida Lupino
Out of the Fog,"Crime, Drama, Film-Noir            ",1941,85 min,6.8,A Brooklyn pier racketeer bullies boat-owners into paying protection money but two fed-up fishermen decide to eliminate the gangster themselves rather than complain to the police.,"1,267",W.S. Van Dyke,Richard Thorpe
Rage in Heaven,"Drama, Thriller            ",1941,85 min,6.4,Robert Montgomery and George Sanders team-up to play against type in this probing psychological thriller that features Ingrid Bergman as the object of their obsessions.,80,George Waggner,William Gargan
Sealed Lips,"Crime, Drama, Film-Noir            ",1942,62 min,6.2,A detective begins to suspect that a man may be in prison for a crime he didn't commit.,"2,796",Josef von Sternberg,Gene Tierney
The Shanghai Gesture,"Crime, Drama, Film-Noir            ",1941,95 min,6.6,"In Shanghai, dragon-lady 'Mother' Gin Sling operates a gambling house for wealthy patrons but she clashes with influential land developer Sir Guy Charteris who wants to put her out-of-business.","39,185",Alfred Hitchcock,Cary Grant
Suspicion,"Film-Noir, Mystery, Thriller            ",1941,99 min,7.3,"A shy young heiress marries a charming gentleman, and soon begins to suspect he is planning to murder her.","3,470",George Cukor,Joan Crawford
A Woman's Face,"Drama, Film-Noir, Thriller            ",1941,106 min,7.2,A female blackmailer with a disfiguring facial scar meets a plastic surgeon who offers her the possibility of looking like a normal woman.,"571,814",Michael Curtiz,Humphrey Bogart
Casablanca,"Drama, Romance, War            ",1942,102 min,8.5,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,"23,619",Jacques Tourneur,Simone Simon
